id,name,description,energy,cooktime,ingredient,quantity,unit
20847,Мясо по-французски,"1. Лук нарезать тонкими полукольцами, сыр натереть на мелкой терке. Мясо разрезать на 2 куска толщиной около 1,5 см. Куски телятины немного отбить.

2. Мясо выложить в противень в один слой на небольшом расстоянии друг от друга, посыпать перцем. Сверху выложить лук, посыпать солью. Сверху равномерно распределить сыр. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль-духовку в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться включения индикатора готовности к работе. Открыть крышку. Поставить противень с мясом. Закрыть крышку. Готовить 15–20 минут.",272,00:15,Соль,г,0
20847,Мясо по-французски,"1. Лук нарезать тонкими полукольцами, сыр натереть на мелкой терке. Мясо разрезать на 2 куска толщиной около 1,5 см. Куски телятины немного отбить.

2. Мясо выложить в противень в один слой на небольшом расстоянии друг от друга, посыпать перцем. Сверху выложить лук, посыпать солью. Сверху равномерно распределить сыр. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль-духовку в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться включения индикатора готовности к работе. Открыть крышку. Поставить противень с мясом. Закрыть крышку. Готовить 15–20 минут.",272,00:15,Лук репчатый,г,80
20847,Мясо по-французски,"1. Лук нарезать тонкими полукольцами, сыр натереть на мелкой терке. Мясо разрезать на 2 куска толщиной около 1,5 см. Куски телятины немного отбить.

2. Мясо выложить в противень в один слой на небольшом расстоянии друг от друга, посыпать перцем. Сверху выложить лук, посыпать солью. Сверху равномерно распределить сыр. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль-духовку в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться включения индикатора готовности к работе. Открыть крышку. Поставить противень с мясом. Закрыть крышку. Готовить 15–20 минут.",272,00:15,Сыр твердый,г,150
20847,Мясо по-французски,"1. Лук нарезать тонкими полукольцами, сыр натереть на мелкой терке. Мясо разрезать на 2 куска толщиной около 1,5 см. Куски телятины немного отбить.

2. Мясо выложить в противень в один слой на небольшом расстоянии друг от друга, посыпать перцем. Сверху выложить лук, посыпать солью. Сверху равномерно распределить сыр. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль-духовку в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться включения индикатора готовности к работе. Открыть крышку. Поставить противень с мясом. Закрыть крышку. Готовить 15–20 минут.",272,00:15,Перец черный молотый,г,0
20847,Мясо по-французски,"1. Лук нарезать тонкими полукольцами, сыр натереть на мелкой терке. Мясо разрезать на 2 куска толщиной около 1,5 см. Куски телятины немного отбить.

2. Мясо выложить в противень в один слой на небольшом расстоянии друг от друга, посыпать перцем. Сверху выложить лук, посыпать солью. Сверху равномерно распределить сыр. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль-духовку в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться включения индикатора готовности к работе. Открыть крышку. Поставить противень с мясом. Закрыть крышку. Готовить 15–20 минут.",272,00:15,Филе телячье,г,300
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Масло растительное,мл,15
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Соль,г,0
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Картофель,г,250
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Морковь,мл,80
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Чеснок,г,5
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Специи,г,0
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Перец болгарский,г,80
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Баклажан,г,80
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Цукини,г,80
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Свинина,г,200
21086,Рагу со свининой,"1. Свинину и овощи нарезать крупным кубиком. Зелень и чеснок измельчить. Смешать все продукты, кроме зелени.

2. Выложить ингредиенты в противень. Накрыть противень листом фольги, подвернуть края.

3. Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение № 5. Дождаться, когда погаснет индикатор готовности к работе. Открыть крышку. Поставить противень с рагу. Закрыть крышку. Готовить 28–30 минут.

4. В готовое рагу добавить зелень.",123,00:30,Зелень,г,5
18613,Омлет,"Смешать яйца с молоком, взбить венчиком. Добавить соль, соду и специи, перемешать. 

Фольгированную форму (31х21х5 см) смазать сливочным маслом, влить яичную смесь. Накрыть форму листом фольги, подвернуть края. 

Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение №5. Дождаться загорания индикатора. 

Открыть крышку.  На панель гриля поставить форму с омлетом. Закрыть крышку. Готовить 15 минут.",175,00:15,Масло сливочное,г,20
18613,Омлет,"Смешать яйца с молоком, взбить венчиком. Добавить соль, соду и специи, перемешать. 

Фольгированную форму (31х21х5 см) смазать сливочным маслом, влить яичную смесь. Накрыть форму листом фольги, подвернуть края. 

Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение №5. Дождаться загорания индикатора. 

Открыть крышку.  На панель гриля поставить форму с омлетом. Закрыть крышку. Готовить 15 минут.",175,00:15,Соль,г,0
18613,Омлет,"Смешать яйца с молоком, взбить венчиком. Добавить соль, соду и специи, перемешать. 

Фольгированную форму (31х21х5 см) смазать сливочным маслом, влить яичную смесь. Накрыть форму листом фольги, подвернуть края. 

Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение №5. Дождаться загорания индикатора. 

Открыть крышку.  На панель гриля поставить форму с омлетом. Закрыть крышку. Готовить 15 минут.",175,00:15,Специи,г,0
18613,Омлет,"Смешать яйца с молоком, взбить венчиком. Добавить соль, соду и специи, перемешать. 

Фольгированную форму (31х21х5 см) смазать сливочным маслом, влить яичную смесь. Накрыть форму листом фольги, подвернуть края. 

Включить гриль в сеть. Закрыть крышку. Установить переключатель в положение №5. Дождаться загорания индикатора. 

Открыть крышку.  На панель гриля поставить форму с омлетом. Закрыть крышку. Готовить 15 минут.",175,00:15,Яйцо куриное,шт,10
